<<<<<<< HEAD
DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190807188,3/14/2019 0:00,2/28/2010 0:00,800,8,West LA,829,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,50,F,W,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,956,,,,10300    WILSHIRE                     BL,,34.068,-118.4254
190811086,6/12/2019 0:00,6/11/2010 0:00,1330,8,West LA,803,1,330,BURGLARY FROM VEHICLE,0344 1251,15,F,W,101,STREET,,,IC,Invest Cont,330,,,,SUNSET                       BL,LOS LIONES                   DR,34.0949,-118.5111
190907999,3/14/2019 0:00,1/1/2010 0:00,1,9,Van Nuys,926,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,34,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,14400    VICTORY                      BL,,34.1903,-118.4399
191005089,1/26/2019 0:00,1/1/2010 0:00,1000,10,West Valley,1029,2,354,THEFT OF IDENTITY,1822 0377,51,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7000    WOODLEY                      AV,,34.1976,-118.4837
191007259,3/11/2019 0:00,9/1/2010 0:00,800,10,West Valley,1047,2,354,THEFT OF IDENTITY,0377 1822 0930,28,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17500    MARTHA                       ST,,34.1732,-118.5142
191008547,4/12/2019 0:00,4/9/2010 0:00,800,10,West Valley,1075,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,19,F,H,104,DRIVEWAY,,,IC,Invest Cont,420,,,,5100    ETIWANDA                     AV,,34.1634,-118.5316
191008792,4/22/2019 0:00,1/1/2010 0:00,5,10,West Valley,1019,2,354,THEFT OF IDENTITY,0377 1822 0928,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,7400    HASKELL                      AV,,34.2049,-118.4749
191107168,3/8/2019 0:00,8/1/2010 0:00,1,11,Northeast,1123,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,519,33,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,821,,,,3700    SENECA                       AV,,34.1219,-118.259
191109806,5/1/2019 0:00,1/1/2010 0:00,1,11,Northeast,1158,1,121,"RAPE, FORCIBLE",0522 1259 0500 0360,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,300 W  AVENUE 38,,34.0907,-118.2121
191110531,5/16/2019 0:00,4/10/2010 0:00,1,11,Northeast,1169,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0522 0360 1258,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,4900    OAK TERRACE                  DR,,34.1021,-118.2021
191207241,2/16/2019 0:00,1/1/2010 0:00,1,12,77th Street,1233,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 1258 0522 0503 0518 0305 2034,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,812,,,1600 W  59TH                         ST,,33.9875,-118.3046
191815235,7/1/2019 0:00,10/1/2010 0:00,1200,18,Southeast,1836,2,860,BATTERY WITH SEXUAL CONTACT,0522 1810,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,1400 E  107TH                        ST,,33.9388,-118.2499
191300738,6/11/2019 0:00,6/7/2010 0:00,1800,13,Newton,1383,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,23,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,998,,,5800 S  BROADWAY,,33.9829,-118.2783
191505220,1/24/2019 0:00,1/5/2010 0:00,700,15,N Hollywood,1555,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 0701,72,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,5000    LANKERSHIM                   BL,,34.1611,-118.3723
191610116,6/10/2019 0:00,5/1/2010 0:00,1400,16,Foothill,1675,1,310,BURGLARY,1605 0344,21,F,H,221,PUBLIC STORAGE,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310,,,,9000    GLENOAKS                     BL,,34.2326,-118.3692
191709085,4/22/2019 0:00,1/1/2010 0:00,1200,17,Devonshire,1783,2,354,THEFT OF IDENTITY,1822,21,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,9000    VANALDEN                     AV,,34.2341,-118.5493
191710170,5/17/2019 0:00,4/22/2010 0:00,800,17,Devonshire,1745,2,354,THEFT OF IDENTITY,1822 0929,23,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17100    CHATSWORTH                   ST,,34.2648,-118.5056
191805719,1/31/2019 0:00,1/1/2010 0:00,1,18,Southeast,1832,2,354,THEFT OF IDENTITY,377,20,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300 W  107TH                        ST,,33.9392,-118.2784
191906539,2/18/2019 0:00,4/15/2010 0:00,1200,19,Mission,1916,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0519 0410 2034 1257 1817 0552 0500,3,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,14400    POLK                         ST,,34.3103,-118.4467
191907923,3/26/2019 0:00,7/15/2010 0:00,900,19,Mission,1907,2,649,DOCUMENT FORGERY / STOLEN FELONY,0931 1822,42,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649,,,,13000    MONTERO                      AV,,34.3063,-118.4213
191909002,4/15/2019 0:00,5/3/2010 0:00,1,19,Mission,1966,2,354,THEFT OF IDENTITY,0377 0100 0928 1822,22,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,14500    TUPPER                       ST,,34.239,-118.4481
191910313,5/13/2019 0:00,1/1/2010 0:00,1200,19,Mission,1962,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0529 1257 0558 0536,2,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,9200    SEPULVEDA                    BL,,34.2374,-118.4676
191910770,5/17/2019 0:00,9/1/2010 0:00,1200,19,Mission,1954,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0444 0515 1258,5,F,B,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,815,,,15000    SEPTO                        ST,,34.2509,-118.4598
190713097,6/27/2019 0:00,8/24/2010 0:00,1,7,Wilshire,789,1,820,ORAL COPULATION,0500 0507,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,820,,,2100    9TH                          AV,,34.038,-118.3272
191911755,6/11/2019 0:00,1/1/2010 0:00,1200,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0913 1257 0510 0906,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,15400    COBALT                       ST,,34.3095,-118.4672
192004683,1/14/2019 0:00,9/1/2010 0:00,1900,20,Olympic,2091,2,813,CHILD ANNOYING (17YRS & UNDER),1258 1901,12,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,813,,,,2300 W  21ST                         ST,,34.0381,-118.3148
192006175,2/15/2019 0:00,12/15/2010 0:00,1700,20,Olympic,2097,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 1258 1251 0510 0522,4,F,H,222,LAUNDROMAT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,SANTA MONICA                 BL,NORMANDIE                    AV,34.0372,-118.3003
191314534,7/5/2019 0:00,2/1/2010 0:00,1300,13,Newton,1383,2,354,THEFT OF IDENTITY,0100 0928 1822,18,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 E  59TH                         PL,,33.9861,-118.2739
192011700,5/28/2019 0:00,7/1/2010 0:00,1200,20,Olympic,2035,2,624,BATTERY - SIMPLE ASSAULT,2024 0522 0510 1251 1258,5,F,H,704,ELEMENTARY SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 S  CATALINA                     ST,,34.0598,-118.2979
192011701,5/28/2019 0:00,1/1/2010 0:00,1200,20,Olympic,2038,2,860,BATTERY WITH SEXUAL CONTACT,0522 0505 1251 1257,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,600    SHATTO                       PL,,34.0608,-118.2903
190516508,10/7/2019 0:00,8/5/2010 0:00,1,5,Harbor,517,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0503 0505 0360 0913,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1000    EUBANK                       AV,,33.7831,-118.2552
192108621,4/13/2019 0:00,12/1/2010 0:00,1200,21,Topanga,2156,2,354,THEFT OF IDENTITY,1822 0928,32,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6200    OWENSMOUTH                   AV,,34.1829,-118.6015
191207242,2/16/2019 0:00,1/1/2010 0:00,1,12,77th Street,1233,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0558 1258 0522 0503 0444 0510 0305 0520,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,760,812,,,1600 W  59TH                         ST,,33.9875,-118.3046
191911201,5/16/2019 0:00,1/1/2010 0:00,600,19,Mission,1913,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 1817 1257 0551,4,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,15400    COBALT                       ST,,34.3095,-118.4672
191011755,7/2/2019 0:00,6/29/2010 0:00,2100,10,West Valley,1079,1,480,BIKE - STOLEN,0397 0344,30,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,480,,,,4800    WOODLEY                      AV,,34.1577,-118.4836
191917040,9/24/2019 0:00,1/1/2010 0:00,1,19,Mission,1921,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1817 0528 0532 0448 0538 0558,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,12600    HADDON                       AV,,34.2997,-118.4696
190416259,9/10/2019 0:00,7/5/2010 0:00,1200,4,Hollenbeck,404,1,122,"RAPE, ATTEMPTED",1257 0913 0400 0522 0515,4,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,122,812,,,5900    MONTEREY                     RD,,34.1045,-118.1848
190916063,8/30/2019 0:00,8/29/2010 0:00,1930,9,Van Nuys,955,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,13,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,998,,,14300    CHANDLER                     BL,,34.1684,-118.4443
191610890,6/29/2019 0:00,1/1/2010 0:00,1200,16,Foothill,1687,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0551 0552 1251 1258,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,11000    LORNE                        ST,,34.2175,-118.3703
191222630,9/13/2019 0:00,8/1/2010 0:00,1200,12,77th Street,1257,1,121,"RAPE, FORCIBLE",1258 1251 0516 0522 0526 0527 0536 0537 0552 1203,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,121,812,,,600 W  78TH                         ST,,33.9688,-118.2842
191915122,8/9/2019 0:00,1/1/2010 0:00,1200,19,Mission,1977,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1817 0552 2002 0505 1257 0522,4,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,13600    RAYEN                        ST,,34.2385,-118.4293
192117804,10/29/2019 0:00,10/28/2010 0:00,2230,21,Topanga,2189,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,35,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,20700    DEFOREST                     ST,,34.1603,-118.5851
190307679,2/15/2019 0:00,1/1/2010 0:00,1400,3,Southwest,312,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0361 0519 1251 1258 2021,5,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,,,,2900 S  ORANGE                       DR,,34.0276,-118.3551
191717340,10/28/2019 0:00,1/1/2010 0:00,1500,17,Devonshire,1745,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0503 1259 1251 0522 0512 0537 0556 0913 2021,7,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,813,821,,,17200    GERMAIN                      ST,,34.2624,-118.5088
191513272,6/28/2019 0:00,1/1/2010 0:00,1200,15,N Hollywood,1539,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0400 0552 1258 0446 0416 0522,3,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,812,860,,,5800    SATSUMA                      AV,,34.1758,-118.367
191601065,11/26/2019 0:00,1/1/2010 0:00,2000,16,Foothill,1612,2,860,BATTERY WITH SEXUAL CONTACT,1259 0522,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,13100    MERCER                       ST,,34.2719,-118.4178
